Копыльская	ул.	Капыльская				
Копыльский	проезд	Капыльскі				
Копыльский тупик					
Коржа	ул.					
Корш-Саблина	ул.					
Корженевского	ул.					
Корженевского	пер.					
Корзюки	ул.					
Корицкого	ул.					
Короткий 1-й	пер.					
Короткий 2-й	пер.					
Короткий 3-й	пер.					
Короткевича	ул.	Караткевіча				
Короленко	ул.					
Комаровское кольцо					
Космодемьянской	ул.					
Космонавтов	ул.	Касманаўтаў	Московский			
Котовского	ул.					
Котовского	проезд	Катоўскага				
Кошевого	ул.	Кашавога				
Кольцова	ул.	Кальцова	Советский			
Козыревская	ул.					
Крапивы	ул.	Крапівы				
Кропоткина	ул.	Крапоткіна				
Кропоткина 1-й	пер.					
Кропоткина 2-й	пер.					
Красивая	ул.	Прыгожая				
Красивый	пер.	Прыгожы				
Красная	ул.	Чырвоная				
Красная слобода	ул.	Чырвоная Слабада				
Краснослободская	ул.					
Краснозвездная	ул.	Червоназоркавая				
Краснозвездный	пер.	Червоназоркавый				
Красноармейская	ул.					
Красномысленский	пер.					
Крайняя	ул.					
Крамского	ул.	Крамскога				
Круглый	пер.	Круглы				
Крупской	ул.					
Крупцы	ул.	Крупцы				
Крыловича	ул.	Крыловіча				
Крыловича 1-й	пер.					
Крыловича 2-й	пер.					
Кривая	ул.					
Кубанская	ул.					
Кузнечная	ул.					
Кузнечный	проезд					
Куйбышева	ул.					
Кулешова	ул.	Куляшова				
Кулибина	ул.					
Кульман	ул.	Кульман				
Янки Купалы	ул.	Янкі Купалы				
Куприянова	ул.					
Кутузова	ул.					
Короля	ул.	Караля				
Курчатова	ул.					
Кунцевщина	ул.	Кунцаўшчына				
Курганная	ул.					
Кэчевский	пер.					
Лазарева	ул.					
Лазо	ул.					
Лазо	пер.					
Ландера	ул.					
Логойский тракт		Лагойскі тракт			
Левкова	ул.					
Ленина	ул.	Леніна				
Ленинградская	ул.					
Лермонтова	ул.	Лерманатава				
Лесная	ул.					
Летняя	ул.					
Летний 1-й	пер.					
Летний 2-й	пер.					
Лещинского	ул.					
Либаво-Роменская	ул.					
Линейный	пер.					
Либкнехта	ул.					
Литературная	ул.					
Литературный	пер.					
Лодочная	ул.					
Лодочный	пер.					
Ломоносова	ул.					
Ломоносова	пер.					
Лошица 2-ая	ул.					
Ложинская	ул.					
Лобанка	ул.					
Лошицкий	проезд					
Луговая	ул.	Лугавая				
Луговой	пер.					
Мулявина бульвар		Мулявіна			
Лошицкая	ул.					
Лошицкий	пер.					
Лынькова	ул.					
Лучины	ул.	Янкі Лучыны				
Любимова просп.	просп.		Московский		
Розы Люксембург	ул.					
Розы Люксембург 2-й	пер.					
Любанская	ул.					
Майкова	пер.					
Магистральная	ул.					
Мавра	ул.					
Магнитная	ул.					
Магнитный	пер.					
Магазинная	ул.					
Малая	ул.					
Малый	пер.					
Малый 2-й	пер.					
Малинина	ул.					
Маневича	ул.					
Малявки	ул.					
Марата	ул.	Марата				
Марьевская	ул.					
8-го марта	8-га сакавіка				
Матвеевская	ул.					
Матвеевский	пер.					
Матросова	ул.					
Матусевича	ул.					
Машинистов	ул.					
Маяковского	ул.	Маякоўскага				
Маркса	ул.	Маркса				
Маяковского	пер.					
Машерова просп.	просп.	Праспект Машэрава			
Машинистов	пер.					
Макаенка	ул.	Макаёнка				
Машиностроителей	ул.					
Макаренко	ул.					
Мебельный	пер.					
Медвежино	ул.					
Медвежино	пер.					
Мележа	ул.	Мележа				
Мелиоративная	ул.					
Мелиоративный	пер.					
Мельничный 1-й	пер.					
Мельникайте	ул.					
Менделеева	ул.					
Менделеева 1-й	пер.					
Меньковский тракт					
Металлистов 1-й	пер.					
Металлистов	проезд					
Мержинского	ул.					
Мазурова	ул.	Мазурава				
Минина	ул.					
Минина	пер.					
Мирная	ул.					
Мирошниченко	ул.					
Мичурина	ул.					
Михайлова	ул.					
Михайловский	пер.					
Михалово	ул.					
Михалово 1-й	пер.					
Михалово 2-й	пер.					
Михалово 3-й	пер.					
Михалово 4-й	пер.					
Могилевская	ул.	Магілёўская				
Могилевский	пер.	Магілёўская				
Можайская	ул.					
Можайский 1-й	пер.					
Можайский 2-й	пер.					
Мозырская	ул.	Мазырская				
Мозырский	пер.	Мазырскі				
Мозырский	проезд	Мазырскі				
Молочный	пер.					
Можайский 3-й	пер.					
Мопра	ул.					
Москвина	ул.					
Москвина	пер.					
Московская	ул.					
Музыкальный	пер.					
Мядельская	ул.					
Мясникова	ул.	Мяснікова				
Мясникова	пл.	Мяснікова			
Нагорная	ул.					
Нагорный	пер.					
Надеждинская	ул.					
Наклонная	ул.					
Наклонный 1-й	пер.					
Наклонный 2-й	пер.					
Наполеона Орды	ул.				[1]
Народная	ул.	Народная				
Натуралистов	ул.	Натуралістаў				
Нахимова	ул.					
Невский	пер.					
Неждановой	ул.					
Неждановой	пер.					
Независимости	пл.	Плошча Незалежнасці				
Независимости	просп.	Праспект Незалежнасці			Скорины (стар.)	
Некрасова	ул.					
Некрасова	пер.					
Немига	ул.	Няміга				
Несвижская	ул.					
Нестерова	ул.	Несцерава	Заводской			
Нестерова 1-й	пер.					
Нестерова 2-й	пер.					
Нефтяная	ул.					
Нефтяной	пер.					
Нарочанская	ул.					
Никитина	ул.					
Никитина 1-й	пер.					
Никитина 2-й	пер.					
Никифорова	ул.					
Новаторская	ул.					
Новаторский	пер.					
Новаторский	проезд					
Новая	ул.					
Новгородская	ул.					
Новгородский	пер.					
